Price,Close,High,Low,Open,Volume
Ticker,MEUD.PA,MEUD.PA,MEUD.PA,MEUD.PA,MEUD.PA
Date,,,,,
2024-02-19,223.82000732421875,223.92999267578125,223.0,223.1699981689453,2103
2024-02-20,223.42999267578125,223.9499969482422,223.0800018310547,223.6300048828125,5252
2024-02-21,223.13999938964844,223.4199981689453,222.80999755859375,223.38999938964844,2362
2024-02-22,225.25,225.52999877929688,224.36000061035156,225.36000061035156,3922
2024-02-23,226.19000244140625,226.27999877929688,225.0800018310547,225.60000610351562,7269
2024-02-26,225.25,225.9199981689453,225.25,225.85000610351562,4905
2024-02-27,225.66000366210938,225.9199981689453,225.0,225.55999755859375,4611
2024-02-28,225.00999450683594,225.75999450683594,224.67999267578125,225.47000122070312,5541
2024-02-29,224.8300018310547,225.77000427246094,224.8300018310547,225.67999267578125,12091
2024-03-01,226.42999267578125,226.5,225.33999633789062,226.02000427246094,7186
2024-03-04,226.4199981689453,226.77000427246094,225.72999572753906,226.63999938964844,7623
2024-03-05,225.69000244140625,226.1999969482422,225.25,225.88999938964844,6566
2024-03-06,226.50999450683594,227.0,225.64999389648438,225.72000122070312,9523
2024-03-07,229.4199981689453,229.47999572753906,226.05999755859375,226.75999450683594,9162
2024-03-08,229.2100067138672,229.86000061035156,229.00999450683594,229.25,3630
2024-03-11,228.3300018310547,228.69000244140625,227.75999450683594,228.25999450683594,7225
2024-03-12,230.61000061035156,230.92999267578125,228.97999572753906,229.85000610351562,9274
2024-03-13,231.02999877929688,231.5800018310547,230.49000549316406,231.0,2181
2024-03-14,231.00999450683594,232.17999267578125,230.32000732421875,231.55999755859375,8631
2024-03-15,230.16000366210938,231.64999389648438,230.16000366210938,230.91000366210938,4813
2024-03-18,229.69000244140625,230.5,229.47999572753906,230.5,3334
2024-03-19,230.38999938964844,230.38999938964844,229.4199981689453,229.64999389648438,3758
2024-03-20,230.25999450683594,230.49000549316406,229.57000732421875,229.97000122070312,4883
2024-03-21,232.3800048828125,232.92999267578125,231.2100067138672,232.5800018310547,40333
2024-03-22,232.7100067138672,232.89999389648438,231.91000366210938,232.2100067138672,5112
2024-03-25,232.80999755859375,233.0,231.7899932861328,232.75,5426
2024-03-26,233.52999877929688,233.52999877929688,232.2899932861328,232.55999755859375,1525
