Price,Close,High,Low,Open,Volume
Ticker,XLC,XLC,XLC,XLC,XLC
Date,,,,,
2020-07-20,54.78733444213867,54.909923292116645,53.60860518480181,54.0423802853709,2205300
2020-07-21,54.52329635620117,55.192813663355345,54.37241916589606,55.145665215859246,2228100
2020-07-22,54.579891204833984,54.622323739736004,54.188552151596355,54.51388264129955,1528700
2020-07-23,53.6934700012207,54.81562247628336,53.41057571909924,54.683605384439744,2271200
2020-07-24,53.608612060546875,53.77457952102731,53.05225163583823,53.32571772194175,3291800
2020-07-27,53.97637176513672,54.05180856710673,53.521851633711464,53.80663446420891,1556100
2020-07-28,53.42001724243164,54.02352611285148,53.335148582704065,53.82550043921933,1818100
2020-07-29,53.910369873046875,54.056534774938456,53.48603013719821,53.684055826887175,1720600
2020-07-30,54.061241149902344,54.155538052944735,53.13711423354487,53.40115203701684,2202100
2020-07-31,54.81562805175781,55.05137391037016,53.97165744626206,55.05137391037016,2741700
2020-08-03,54.8627815246582,55.02308699653028,54.464841644354635,54.95707843785394,2335700
2020-08-04,55.211673736572266,55.22110558438475,54.8439108101963,54.8439108101963,2829100
2020-08-05,55.12679672241211,55.456842999015514,54.966491305898344,55.3719743675684,1874200
2020-08-06,56.579002380371094,56.63558267774206,55.11737887165072,55.2116757700729,2277200
2020-08-07,56.513004302978516,57.40883939275731,56.04151252911565,56.43756389250601,2525900
2020-08-10,56.324405670166016,57.01278321362941,55.77747709471698,56.49414299290457,4230300
2020-08-11,55.48515319824219,56.593158169470165,55.37199617747426,56.25839943501727,3121200
2020-08-12,56.14523696899414,56.49413984755502,55.79633049323677,55.79633049323677,6266000
2020-08-13,56.42813491821289,56.83173319524684,56.1725864663798,56.201817286886204,1707300
2020-08-14,56.41869354248047,56.58842722999906,56.230096159775954,56.475270239254705,1205100
2020-08-17,56.48469924926758,56.63557642841251,56.28667002891835,56.63557642841251,1179400
2020-08-18,56.993919372558594,57.173088533249334,56.385694605511674,56.635588245570005,1353100
2020-08-19,56.83361053466797,57.46540769251706,56.70159343286047,57.04106803590617,2143500
2020-08-20,57.54085159301758,57.60686014793762,56.57429210037977,56.60729637783979,7930600
2020-08-21,57.286251068115234,57.588005518476066,57.08822538454034,57.408839937698325,2003100
2020-08-24,57.98405838012695,58.238660765663774,57.62855103094757,57.701160445625305,3340600
2020-08-25,58.53097915649414,58.629991981502876,57.86146180803725,58.00290715925136,4156100
2020-08-26,60.53010177612305,60.596110320925256,58.63470328338559,58.65356338149992,3234100
2020-08-27,59.794586181640625,60.49616544681697,59.56355622134657,60.49239558463887,5037200
2020-08-28,59.93602752685547,60.03032443006611,59.624841271307055,59.94545577829802,1819300
