Price,Close,High,Low,Open,Volume
Ticker,XLU,XLU,XLU,XLU,XLU
Date,,,,,
1998-12-22,5.795296669006348,5.877262249217941,5.795296669006348,5.877262249217941,15800
1998-12-23,5.771011829376221,5.7892264894250305,5.758868722677014,5.7892264894250305,48200
1998-12-24,5.877264499664307,5.889407608134687,5.859049836958735,5.871192945429116,47600
1998-12-28,5.8469085693359375,5.877266350069769,5.837801605694167,5.865123237776237,6200
1998-12-29,5.944051742553711,5.959230999093559,5.8711930899381395,5.8711930899381395,24000
1998-12-30,5.895477771759033,5.989587210784442,5.895477771759033,5.97440795819865,140800
1998-12-31,5.874226093292236,5.874226093292236,5.834760640339341,5.874226093292236,43200
1999-01-04,5.780117511749268,5.877262343879507,5.7558313037167075,5.831726074396583,218600
1999-01-05,5.849942684173584,5.849942684173584,5.801370251886337,5.825656468029961,222400
1999-01-06,5.910656929016113,5.928871587131485,5.868156060080247,5.868156060080247,82000
1999-01-07,5.889406681060791,5.971373020911489,5.877263574501902,5.910657488117048,444600
1999-01-08,5.9228010177612305,5.928872571474386,5.849942373203367,5.907621762900113,271800
1999-01-11,5.764938831329346,5.8894052732266395,5.743688029352991,5.8894052732266395,258000
1999-01-12,5.767975807189941,5.8529775559274775,5.737618039783679,5.758868847546278,14200
1999-01-13,5.807440757751465,5.849941628331928,5.731545975422455,5.731545975422455,51800
1999-01-14,5.710296154022217,5.783154792407467,5.682973794049549,5.725474666440946,40000
1999-01-15,5.737618923187256,5.789227506302134,5.716368853309279,5.731547368771185,13800
1999-01-19,5.931910037994385,5.931910037994385,5.828693589022118,5.91369537052869,24400
1999-01-20,5.907622814178467,5.971374510089624,5.883336595004043,5.937980588146496,65400
1999-01-21,5.886373043060303,5.950124001064825,5.886373043060303,5.950124001064825,41000
1999-01-22,5.925836563110352,5.968337440099873,5.822620147564372,5.846906362986956,41600
1999-01-25,5.704222202301025,5.925833430294445,5.704222202301025,5.925833430294445,27200
1999-01-26,5.8165483474731445,5.8165483474731445,5.6799387620825295,5.7679759186842245,30400
1999-01-27,5.728511810302734,5.801370461364413,5.728511810302734,5.801370461364413,15600
1999-01-28,5.737618923187256,5.816549130596181,5.737618923187256,5.7436904776033275,35200
